"","ID_MUJ","FAC_MUJ","EDAD","tipo_violencia","value"
"286","0160102.02.01.02",85,25,"fue_violentada_emoc",TRUE
"287","0160102.11.01.02",85,24,"fue_violentada_emoc",TRUE
"288","0160102.13.01.02",85,37,"fue_violentada_emoc",TRUE
"289","0160102.17.01.03",171,26,"fue_violentada_emoc",TRUE
"290","0160106.01.01.03",148,15,"fue_violentada_emoc",TRUE
"291","0160106.04.01.03",222,17,"fue_violentada_emoc",TRUE
"292","0160106.05.01.01",148,66,"fue_violentada_emoc",TRUE
"293","0160106.18.01.02",74,26,"fue_violentada_emoc",TRUE
"294","0160107.04.01.02",89,32,"fue_violentada_emoc",TRUE
"295","0160107.05.01.02",177,17,"fue_violentada_emoc",TRUE
"296","0160107.06.01.02",89,41,"fue_violentada_emoc",TRUE
"297","0160107.19.01.03",177,16,"fue_violentada_emoc",TRUE
"298","0160109.14.01.03",163,18,"fue_violentada_emoc",TRUE
"299","0160109.17.01.02",81,26,"fue_violentada_emoc",TRUE
"300","0160114.08.01.02",104,26,"fue_violentada_emoc",TRUE
"301","0160170.05.01.04",233,15,"fue_violentada_emoc",TRUE
"302","0160170.09.01.02",78,50,"fue_violentada_emoc",TRUE
"303","0160176.10.01.06",236,20,"fue_violentada_emoc",TRUE
"304","0160176.11.01.04",236,16,"fue_violentada_emoc",TRUE
"305","0160176.15.01.01",79,66,"fue_violentada_emoc",TRUE
"306","0160187.12.01.02",173,40,"fue_violentada_emoc",TRUE
"307","0160187.17.01.02",87,41,"fue_violentada_emoc",TRUE
"308","0160204.10.01.07",400,22,"fue_violentada_emoc",TRUE
"309","0160204.19.01.02",100,27,"fue_violentada_emoc",TRUE
"310","0160208.19.01.02",78,24,"fue_violentada_emoc",TRUE
"311","0160215.02.01.02",292,40,"fue_violentada_emoc",TRUE
"312","0160215.10.01.02",97,35,"fue_violentada_emoc",TRUE
"313","0160227.02.01.03",337,46,"fue_violentada_emoc",TRUE
"314","0160227.07.01.03",253,18,"fue_violentada_emoc",TRUE
"315","0160227.09.01.02",168,19,"fue_violentada_emoc",TRUE
"316","0160236.11.01.02",183,35,"fue_violentada_emoc",TRUE
